trip_id,Unnamed: 0,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
10027070,785,183331907,71B,OUTBOUND-HIGHLAND PARK,23:03:00,3,FIFTH AVE + WOOD ST,20856,23:33:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 23:03,1/1/2023 23:33,0 days 00:30:00,30.0,0.5
5148070,790,183332107,71B,INBOUND-DOWNTOWN,24:01:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,24:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/2/2023 0:01,1/2/2023 0:33,0 days 00:32:00,32.0,0.533333333
13437070,791,183332107,71B,OUTBOUND-HIGHLAND PARK,24:33:00,3,FIFTH AVE + WOOD ST,20856,25:03:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/2/2023 0:33,1/2/2023 1:03,0 days 00:30:00,30.0,0.5
4316070,804,183332407,71B,INBOUND-DOWNTOWN,15:49:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,16:31:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 15:49,1/1/2023 16:31,0 days 00:42:00,42.0,0.7
2429070,805,183332407,71B,OUTBOUND-HIGHLAND PARK,16:31:00,3,FIFTH AVE + WOOD ST,20856,17:11:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 16:31,1/1/2023 17:11,0 days 00:40:00,40.0,0.666666667
6290070,806,183332407,71B,INBOUND-DOWNTOWN,17:25:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,18:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 17:25,1/1/2023 18:03,0 days 00:38:00,38.0,0.633333333
1715070,807,183332407,71B,OUTBOUND-HIGHLAND PARK,18:03:00,3,FIFTH AVE + WOOD ST,20856,18:39:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 18:03,1/1/2023 18:39,0 days 00:36:00,36.0,0.6
9723070,808,183332407,71B,INBOUND-DOWNTOWN,18:55:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,19:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 18:55,1/1/2023 19:33,0 days 00:38:00,38.0,0.633333333
9670070,809,183332407,71B,OUTBOUND-HIGHLAND PARK,19:33:00,3,FIFTH AVE + WOOD ST,20856,20:09:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 19:33,1/1/2023 20:09,0 days 00:36:00,36.0,0.6
6692070,810,183332507,71B,INBOUND-DOWNTOWN,7:30:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,8:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 7:30,1/1/2023 8:03,0 days 00:33:00,33.0,0.55
