,trip_id,block_id,route_id,trip_headsign,trip_start_time,trip_end_time,start_stop_id,end_stop_id,start_stop_name,start_stop_lat,start_stop_lon,end_stop_name,end_stop_lat,end_stop_lon
3967,6053080,183441108.0,56,OUTBOUND-PENN STATE - MCKEESPORT,22:40:00,23:29:00,43,21505,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,BROADWAY AVE + RED LOT NS (CROSSWALK),40.34584,-79.827375
3968,6447080,183441208.0,59,OUTBOUND-NORTH VERSAILLES ,18:35:00,20:42:00,17596,15851,CENTURY III MALL PARK AND RIDE LOT AT SHELTER,40.336288,-79.94588,WALMART + SHELTER (N VERSAILLES),40.387651,-79.8235
3969,7940080,183441308.0,57,INBOUND-DOWNTOWN,10:53:00,11:31:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3970,13614080,183441308.0,57,OUTBOUND-WATERFRONT,11:31:00,12:08:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3971,4153080,183441408.0,61A,INBOUND-DOWNTOWN VIA OAKLAND,13:08:00,14:15:00,12565,20856,BRADDOCK HILLS S C + STOREFRONT,40.414555,-79.85334,FIFTH AVE + WOOD ST,40.440792,-80.000658
3972,2219080,183441408.0,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,14:15:00,15:22:00,20856,7357,FIFTH AVE + WOOD ST,40.440792,-80.000658,BRADDOCK HILLS SC + GIANT EAGLE,40.414495,-79.855219
3973,5417080,183441508.0,57,INBOUND-DOWNTOWN,11:41:00,12:19:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3974,5271080,183441508.0,57,OUTBOUND-WATERFRONT,12:19:00,12:56:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3975,13548080,183441508.0,57,INBOUND-DOWNTOWN,13:17:00,13:55:00,15428,43,AMITY ST + TARGET DRIVE,40.409837,-79.912281,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3976,6010080,183441508.0,57,OUTBOUND-WATERFRONT,13:55:00,14:32:00,43,15418,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3977,11465080,183441608.0,61A,INBOUND-DOWNTOWN VIA OAKLAND,16:06:00,17:10:00,12565,20856,BRADDOCK HILLS S C + STOREFRONT,40.414555,-79.85334,FIFTH AVE + WOOD ST,40.440792,-80.000658
